"o1"	"o2"	"o3"	"o4"	"o5"	"o6"	"o7"	"o8"	"o9"	"o10"	"o11"	"o12"	"o13"	"o14"	"o15"	"o16"	"o17"	"o18"	"o19"	"o20"	"o21"	"o22"	"o23"	"k1"	"k2"	"k3"	"k4"	"k5"	"k6"	"k7"	"k8"	"k10"	"k11"	"k12"	"k13"	"k14"	"k15"	"k16"	"k17"	"k18"	"k19"	"k20"	"k21"	"k22"	"k23"	"k24"	"k25"	"k26"	"k27"	"k28"	"k29"	"k30"	"leseferism.etatism"	"mat_econimic"	"mat_social"	"father_edu"	"mother_edu"	"year_at_uni"	"uni_programme"	"work_experience"	"hometown_size"	"birthdate"	"gender"	"age"	"eduprog4"	"eduprog3"	"knowIV"	"opinionIV"	"country"	"libsoc"	"liberalism"	"socialism"
"s1"	"Disagree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	3	3	3	"higher_edu"	"higher_edu"	"BA_3"	"Finance"	"Up_to_1_year"	"<10k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"PL"	-1	2	1
"s2"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	3	3	4	"higher_edu"	"higher_edu"	"BA_3"	"Finance"	"Up_to_1_year"	"<10k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"PL"	-3	2	0
"s3"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	3	4	3	"higher_edu"	"higher_edu"	"BA_3"	"Finance"	"Up_to_1_year"	"<10k-100k"	1993	"male"	22	"EBMF"	"EBMF"	0	0	"PL"	-2	2	0
"s4"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Agree"	"Agree"	"DontKnow"	"Agree"	"DontKnow"	"Agree"	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	7	3	3	"higher_edu"	"higher_edu"	"BA_2"	"Finance"	"No_experience"	"<10k-100k"	1994	"male"	21	"EBMF"	"EBMF"	0	0	"PL"	0	1	1
"s5"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	3	3	1	"higher_edu"	"higher_edu"	"BA_2"	"Finance"	"No_experience"	"<10k"	1994	"female"	21	"EBMF"	"EBMF"	0	0	"PL"	-1	2	1
"s6"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	4	3	2	"higher_edu"	"higher_edu"	"BA_2"	"Finance"	"Up_to_1_year"	">500k"	1994	"male"	21	"EBMF"	"EBMF"	0	0	"PL"	-2	2	0
"s7"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	3	3	3	"higher_edu"	"higher_edu"	"BA_2"	"Finance"	"Up_to_1_year"	"<10k"	1994	"male"	21	"EBMF"	"EBMF"	0	0	"PL"	-3	2	1
"s8"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	2	4	3	"higher_edu"	"higher_edu"	"BA_3"	"Finance"	"1_year+"	">500k"	1992	"male"	23	"EBMF"	"EBMF"	0	0	"PL"	-3	3	0
"s9"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	4	3	3	"higher_edu"	"higher_edu"	"BA_3"	"Finance"	"Up_to_1_year"	">500k"	1993	"female"	22	"EBMF"	"EBMF"	0	0	"PL"	1	1	2
"s10"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"DontKnow"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	2	4	2	"higher_edu"	"higher_edu"	"BA_2"	"Finance"	"Up_to_1_year"	"100k-500k"	1994	"female"	21	"EBMF"	"EBMF"	0	0	"PL"	-1	1	0
